city,district,exposure,size,building_year,bedrooms,bathrooms,kitchen,garage,driver_room,maid_room,furnished,ac,rooftop,pool,frontyard,basement,duplex,stairs,elevator,fireplace,price
Riyadh,Al-Munsiyah,South,325,2019,4,4,0,1,1,1,0,0,1,0,0,0,0,1,0,0,50000
Riyadh,Al-Yasmeen,North,312,2012,6,5,1,1,0,0,0,1,0,0,1,0,0,1,0,0,85000
Riyadh,Dhahrah Laban,Northwest,500,2013,7,5,1,1,1,1,0,1,0,0,1,0,0,1,0,1,50000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Rawdah,South,352,1991,7,5,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
Riyadh,Al-Narjis,Northeast,450,2020,5,4,1,1,1,0,0,1,1,0,1,1,0,1,0,0,110000
Riyadh,Al-Aqiq,North,600,2017,5,5,1,1,1,1,0,1,1,0,1,0,0,0,0,0,180000
Riyadh,Al-Ulyah,North,500,1994,5,5,1,1,0,0,0,0,1,0,1,0,0,0,0,0,115000
Riyadh,Akkad,East,360,2020,6,3,1,1,0,1,0,0,1,0,1,0,0,1,0,1,40000
Riyadh,Al-Wurud,West,400,2011,3,4,1,1,1,1,0,1,0,1,1,1,0,1,0,0,80000
Riyadh,Al-Narjis,Northeast,450,2020,5,5,1,1,1,1,0,1,1,0,1,0,0,1,0,0,110000
Riyadh,Al-Munsiyah,East,200,2019,7,5,1,1,0,1,0,0,0,0,0,0,1,1,0,0,65000
Riyadh,Al-Rawdah,South,352,1991,7,5,1,1,0,1,0,1,1,0,1,0,0,1,0,1,80000
Riyadh,Al-Malqa,South,200,2018,5,5,1,1,0,1,0,1,0,0,0,0,0,1,0,0,85000
Riyadh,Al-Ardeh,East,375,2020,4,5,1,0,1,1,0,1,1,0,0,0,0,1,0,0,110000
Riyadh,Al-Fayha,Northwest,650,2016,7,5,1,1,0,1,0,1,1,1,1,1,0,1,0,1,120000
Riyadh,Al-Namudhajiyah,Northeast,900,2017,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,300000
Riyadh,Al-Munsiyah,South,360,2019,4,3,1,1,1,0,0,0,1,0,1,0,0,1,0,0,55000
Riyadh,Ar-Rubbah,West,330,2011,5,5,1,0,1,1,0,1,0,0,1,0,0,1,0,0,79000
Riyadh,Al-Qayrawan,East,500,2020,5,4,1,1,0,1,0,0,0,0,1,0,0,1,0,0,35000
Riyadh,Al-Ardeh,North,250,2020,5,5,1,1,0,1,0,0,0,0,1,0,1,1,0,0,80000
Riyadh,Al-Alyshah,North,325,2009,5,4,1,0,0,1,0,1,0,0,0,0,0,1,0,0,50000
Riyadh,Ar-Ramal,West,310,2020,7,4,1,1,0,0,0,0,1,0,1,0,1,1,0,1,56000
Riyadh,Al-Sulaymaniyah,West,220,2012,4,4,1,1,0,1,0,1,0,0,1,0,1,1,0,0,90000
Riyadh,Al-Malik Faysal,West,250,2006,7,5,1,0,0,1,0,1,0,0,1,0,1,1,0,0,40000
Riyadh,Al-Malqa,East,200,2018,5,5,1,1,1,1,0,0,1,1,1,0,0,1,0,0,85000
Riyadh,Ar-Ramal,East,298,2020,3,4,1,0,0,1,0,0,0,0,1,0,0,1,0,1,45000
Riyadh,Ar-Ramal,South,300,2020,6,5,0,1,0,1,0,0,1,0,1,0,0,1,0,0,40000
Riyadh,Al-Narjis,East,250,2020,4,5,1,1,1,1,0,1,1,0,1,0,0,1,0,0,90000
Riyadh,Al-Aqiq,South,300,2015,4,5,1,1,1,1,0,1,0,0,1,1,1,0,0,0,120000
